2016-07-30 08:09:07 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 08:09:11 /Users/simple/Documents/pywork/trade/demo/urls.py modified; restarting server
2016-07-30 09:16:05 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 09:52:40 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 09:52:49 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 10:00:23 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 10:39:30 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 10:44:10 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 10:45:04 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 10:58:09 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:11:12 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:13:51 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:17:16 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:17:57 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:18:27 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:19:06 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:19:18 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:21:43 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:22:18 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:22:45 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:23:41 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:24:19 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:24:24 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:24:32 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:24:42 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:24:47 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:24:52 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:25:14 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:25:51 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 11:25:57 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:19:21 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:20:01 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:20:44 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:21:04 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:22:36 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:22:43 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:23:07 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:24:20 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:24:23 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:24:36 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:24:40 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:24:52 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:25:17 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:27:33 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:30:25 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:31:28 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:33:10 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:34:28 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 21:34:58 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:35:07 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:35:25 /Users/simple/Documents/pywork/trade/demo/views.py modified; restarting server
2016-07-30 21:36:09 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 21:38:09 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 21:54:15 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:06:03 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:16:24 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:16:32 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:16:35 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:16:40 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:16:54 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:22:21 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:32:03 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:36:21 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:36:29 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:37:14 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
2016-07-30 22:37:40 /Users/simple/Documents/pywork/trade/demo/factory.py modified; restarting server
